,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
115,9009,2017-01-05,19:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
116,9008,2017-01-05,20:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
117,9007,2017-01-05,21:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
118,9006,2017-01-05,22:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
119,9005,2017-01-05,23:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
120,9004,2017-01-06,00:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
121,9003,2017-01-06,01:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
122,9002,2017-01-06,02:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
123,9001,2017-01-06,03:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
124,9000,2017-01-06,04:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
125,8999,2017-01-06,05:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
126,8998,2017-01-06,06:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
127,8997,2017-01-06,07:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
128,8996,2017-01-06,08:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
129,8995,2017-01-06,09:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
130,8994,2017-01-06,10:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
131,8993,2017-01-06,11:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
132,8992,2017-01-06,12:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
133,8991,2017-01-06,13:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
134,8990,2017-01-06,14:00,0.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
135,8989,2017-01-06,15:00,4.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
136,8988,2017-01-06,16:00,4.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
137,8987,2017-01-06,17:00,5.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
138,8986,2017-01-06,18:00,4.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
139,8985,2017-01-06,19:00,5.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
140,8984,2017-01-06,20:00,11.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
141,8983,2017-01-06,21:00,16.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
142,8982,2017-01-06,22:00,16.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
143,8981,2017-01-06,23:00,20.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
144,8980,2017-01-07,00:00,21.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
145,8979,2017-01-07,01:00,18.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
146,8978,2017-01-07,02:00,15.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
147,8977,2017-01-07,03:00,21.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
148,8976,2017-01-07,04:00,13.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
149,8975,2017-01-07,05:00,11.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
150,8974,2017-01-07,06:00,11.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
151,8973,2017-01-07,07:00,9.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
152,8972,2017-01-07,08:00,8.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
153,8971,2017-01-07,09:00,10.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
154,8970,2017-01-07,10:00,7.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
155,8969,2017-01-07,11:00,7.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
156,8968,2017-01-07,12:00,7.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
